,timeslice,region,installed,technology,year,agent,category,sector,emission_costs
21,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A2,newcapa,residential,0.00000000000
22,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A2,newcapa,residential,0.00000000000
23,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A2,newcapa,residential,0.00000000000
24,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
25,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
26,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
27,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
28,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
29,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A2,retrofit,residential,0.00000000000
30,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
31,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
32,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
33,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
34,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A3,newcapa,residential,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
37,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
38,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
39,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
40,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
41,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2020,A3,retrofit,residential,0.00000000000
42,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
43,"('all-year', 'all-week', 'morning')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
44,"('all-year', 'all-week', 'afternoon')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
45,"('all-year', 'all-week', 'early-peak')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
46,"('all-year', 'all-week', 'late-peak')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
47,"('all-year', 'all-week', 'evening')",R1,2020,gasCCGT,2020,A1,newcapa,power,0.00000000000
48,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
49,"('all-year', 'all-week', 'night')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
50,"('all-year', 'all-week', 'morning')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
51,"('all-year', 'all-week', 'morning')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
52,"('all-year', 'all-week', 'afternoon')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
53,"('all-year', 'all-week', 'afternoon')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
54,"('all-year', 'all-week', 'early-peak')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
55,"('all-year', 'all-week', 'early-peak')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
56,"('all-year', 'all-week', 'late-peak')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
57,"('all-year', 'all-week', 'late-peak')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
58,"('all-year', 'all-week', 'evening')",R1,2020,gasCCGT,2020,A1,retrofit,power,0.00000000000
59,"('all-year', 'all-week', 'evening')",R1,2020,windturbine,2020,A1,retrofit,power,0.00000000000
60,"('all-year', 'all-week', 'night')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
61,"('all-year', 'all-week', 'morning')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
62,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
63,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
64,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
65,"('all-year', 'all-week', 'evening')",R1,2020,gassupply1,2020,A1,newcapa,gas,0.00000000000
66,"('all-year', 'all-week', 'night')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
67,"('all-year', 'all-week', 'morning')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
68,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
69,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
70,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
71,"('all-year', 'all-week', 'evening')",R1,2020,gassupply1,2020,A1,retrofit,gas,0.00000000000
72,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
73,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
74,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
75,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
76,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
77,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A1,newcapa,residential,0.00000000000
78,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2025,A1,retrofit,residential,5.74221009600
79,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
80,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
81,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2025,A1,retrofit,residential,8.61331514400
82,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
83,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
84,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2025,A1,retrofit,residential,5.74221009600
85,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
86,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
87,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2025,A1,retrofit,residential,8.61331514400
88,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
89,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
90,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2025,A1,retrofit,residential,17.22663028800
91,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
92,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
93,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2025,A1,retrofit,residential,11.48442019200
94,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2025,A1,retrofit,residential,0.00000000000
95,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A1,retrofit,residential,0.00000000000
96,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
97,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
98,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
99,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
100,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
101,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A2,newcapa,residential,0.00000000000
102,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2025,A2,retrofit,residential,7.01585820000
103,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
104,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2025,A2,retrofit,residential,10.52378730000
105,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
106,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2025,A2,retrofit,residential,7.01585820000
107,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
108,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2025,A2,retrofit,residential,10.52378730000
109,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
110,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2025,A2,retrofit,residential,21.04757460000
111,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
112,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2025,A2,retrofit,residential,14.03171640000
113,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A2,retrofit,residential,0.00000000000
114,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
115,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
116,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
117,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
118,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
119,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A3,newcapa,residential,0.00000000000
120,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2025,A3,retrofit,residential,7.01585820000
121,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
122,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2025,A3,retrofit,residential,10.52378730000
123,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
124,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2025,A3,retrofit,residential,7.01585820000
125,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
126,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2025,A3,retrofit,residential,10.52378730000
127,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
128,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2025,A3,retrofit,residential,21.04757460000
129,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
130,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2025,A3,retrofit,residential,14.03171640000
131,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2025,A3,retrofit,residential,0.00000000000
132,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
133,"('all-year', 'all-week', 'night')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
134,"('all-year', 'all-week', 'morning')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
135,"('all-year', 'all-week', 'morning')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
136,"('all-year', 'all-week', 'afternoon')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
137,"('all-year', 'all-week', 'afternoon')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
138,"('all-year', 'all-week', 'early-peak')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
139,"('all-year', 'all-week', 'early-peak')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
140,"('all-year', 'all-week', 'late-peak')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
141,"('all-year', 'all-week', 'late-peak')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
142,"('all-year', 'all-week', 'evening')",R1,2020,gasCCGT,2025,A1,newcapa,power,0.00000000000
143,"('all-year', 'all-week', 'evening')",R1,2020,windturbine,2025,A1,newcapa,power,0.00000000000
144,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2025,A1,retrofit,power,1.37615004000
145,"('all-year', 'all-week', 'night')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
146,"('all-year', 'all-week', 'night')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
147,"('all-year', 'all-week', 'morning')",R1,2020,gasCCGT,2025,A1,retrofit,power,2.06422506000
148,"('all-year', 'all-week', 'morning')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
149,"('all-year', 'all-week', 'morning')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
150,"('all-year', 'all-week', 'afternoon')",R1,2020,gasCCGT,2025,A1,retrofit,power,1.37615004000
151,"('all-year', 'all-week', 'afternoon')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
152,"('all-year', 'all-week', 'afternoon')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
153,"('all-year', 'all-week', 'early-peak')",R1,2020,gasCCGT,2025,A1,retrofit,power,2.06422506000
154,"('all-year', 'all-week', 'early-peak')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
155,"('all-year', 'all-week', 'early-peak')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
156,"('all-year', 'all-week', 'late-peak')",R1,2020,gasCCGT,2025,A1,retrofit,power,4.12845012000
157,"('all-year', 'all-week', 'late-peak')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
158,"('all-year', 'all-week', 'late-peak')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
159,"('all-year', 'all-week', 'evening')",R1,2020,gasCCGT,2025,A1,retrofit,power,2.75230008000
160,"('all-year', 'all-week', 'evening')",R1,2020,windturbine,2025,A1,retrofit,power,0.00000000000
161,"('all-year', 'all-week', 'evening')",R1,2025,windturbine,2025,A1,retrofit,power,0.00000000000
162,"('all-year', 'all-week', 'night')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
163,"('all-year', 'all-week', 'morning')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
164,"('all-year', 'all-week', 'afternoon')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
165,"('all-year', 'all-week', 'early-peak')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
166,"('all-year', 'all-week', 'late-peak')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
167,"('all-year', 'all-week', 'evening')",R1,2025,gassupply1,2025,A1,newcapa,gas,0.00000000000
168,"('all-year', 'all-week', 'night')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.58107665959
169,"('all-year', 'all-week', 'night')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
170,"('all-year', 'all-week', 'morning')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.87161498938
171,"('all-year', 'all-week', 'morning')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
172,"('all-year', 'all-week', 'afternoon')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.58107665959
173,"('all-year', 'all-week', 'afternoon')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
174,"('all-year', 'all-week', 'early-peak')",R1,2020,gassupply1,2025,A1,retrofit,gas,0.87161498938
175,"('all-year', 'all-week', 'early-peak')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
176,"('all-year', 'all-week', 'late-peak')",R1,2020,gassupply1,2025,A1,retrofit,gas,1.74322997876
177,"('all-year', 'all-week', 'late-peak')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
178,"('all-year', 'all-week', 'evening')",R1,2020,gassupply1,2025,A1,retrofit,gas,1.16215331917
179,"('all-year', 'all-week', 'evening')",R1,2025,gassupply1,2025,A1,retrofit,gas,0.00000000000
180,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
181,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
182,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
183,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
184,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
185,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A1,newcapa,residential,0.00000000000
186,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000004485
187,"('all-year', 'all-week', 'night')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
188,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2030,A1,retrofit,residential,3.53306241915
189,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
190,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000006728
191,"('all-year', 'all-week', 'morning')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
192,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2030,A1,retrofit,residential,5.29959362872
193,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
194,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000004485
195,"('all-year', 'all-week', 'afternoon')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
196,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2030,A1,retrofit,residential,3.53306241915
197,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
198,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000006728
199,"('all-year', 'all-week', 'early-peak')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
200,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2030,A1,retrofit,residential,5.29959362872
201,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
202,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000013456
203,"('all-year', 'all-week', 'late-peak')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
204,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2030,A1,retrofit,residential,10.59918725744
205,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
206,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2030,A1,retrofit,residential,0.00000008970
207,"('all-year', 'all-week', 'evening')",R1,2020,heatpump,2030,A1,retrofit,residential,0.00000000000
208,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2030,A1,retrofit,residential,7.06612483830
209,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A1,retrofit,residential,0.00000000000
210,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
211,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
212,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
213,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
214,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
215,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A2,newcapa,residential,0.00000000000
216,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2030,A2,retrofit,residential,1.48128958564
217,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2030,A2,retrofit,residential,2.64979681436
218,"('all-year', 'all-week', 'night')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
219,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2030,A2,retrofit,residential,2.22193437846
220,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2030,A2,retrofit,residential,3.97469522154
221,"('all-year', 'all-week', 'morning')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
222,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2030,A2,retrofit,residential,1.48128958564
223,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2030,A2,retrofit,residential,2.64979681436
224,"('all-year', 'all-week', 'afternoon')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
225,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2030,A2,retrofit,residential,2.22193437846
226,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2030,A2,retrofit,residential,3.97469522154
227,"('all-year', 'all-week', 'early-peak')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
228,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2030,A2,retrofit,residential,4.44386875692
229,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2030,A2,retrofit,residential,7.94939044308
230,"('all-year', 'all-week', 'late-peak')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
231,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2030,A2,retrofit,residential,2.96257917128
232,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2030,A2,retrofit,residential,5.29959362872
233,"('all-year', 'all-week', 'evening')",R1,2030,heatpump,2030,A2,retrofit,residential,0.00000000000
234,"('all-year', 'all-week', 'night')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
235,"('all-year', 'all-week', 'morning')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
236,"('all-year', 'all-week', 'afternoon')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
237,"('all-year', 'all-week', 'early-peak')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
238,"('all-year', 'all-week', 'late-peak')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
239,"('all-year', 'all-week', 'evening')",R1,2030,gasboiler,2030,A3,newcapa,residential,0.00000000000
240,"('all-year', 'all-week', 'night')",R1,2020,gasboiler,2030,A3,retrofit,residential,1.48128958564
241,"('all-year', 'all-week', 'night')",R1,2025,gasboiler,2030,A3,retrofit,residential,2.64979681436
242,"('all-year', 'all-week', 'night')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
243,"('all-year', 'all-week', 'morning')",R1,2020,gasboiler,2030,A3,retrofit,residential,2.22193437846
244,"('all-year', 'all-week', 'morning')",R1,2025,gasboiler,2030,A3,retrofit,residential,3.97469522154
245,"('all-year', 'all-week', 'morning')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
246,"('all-year', 'all-week', 'afternoon')",R1,2020,gasboiler,2030,A3,retrofit,residential,1.48128958564
247,"('all-year', 'all-week', 'afternoon')",R1,2025,gasboiler,2030,A3,retrofit,residential,2.64979681436
248,"('all-year', 'all-week', 'afternoon')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
249,"('all-year', 'all-week', 'early-peak')",R1,2020,gasboiler,2030,A3,retrofit,residential,2.22193437846
250,"('all-year', 'all-week', 'early-peak')",R1,2025,gasboiler,2030,A3,retrofit,residential,3.97469522154
251,"('all-year', 'all-week', 'early-peak')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
252,"('all-year', 'all-week', 'late-peak')",R1,2020,gasboiler,2030,A3,retrofit,residential,4.44386875692
253,"('all-year', 'all-week', 'late-peak')",R1,2025,gasboiler,2030,A3,retrofit,residential,7.94939044308
254,"('all-year', 'all-week', 'late-peak')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
255,"('all-year', 'all-week', 'evening')",R1,2020,gasboiler,2030,A3,retrofit,residential,2.96257917128
256,"('all-year', 'all-week', 'evening')",R1,2025,gasboiler,2030,A3,retrofit,residential,5.29959362872
257,"('all-year', 'all-week', 'evening')",R1,2030,gasboiler,2030,A3,retrofit,residential,0.00000000000
258,"('all-year', 'all-week', 'night')",R1,2020,gasCCGT,2030,A1,newcapa,power,0.00000000000
259,"('all-year', 'all-week', 'night')",R1,2020,windturbine,2030,A1,newcapa,power,0.00000000000
